"action","role","level","current layer","domain","lifecycle","findings","proposal families","contract","review"
"createGrid","격자 집합·방향별 격자","H1–H2","user-facing","grid","Aggregate create-only","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:39","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"createHorizontalGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:133","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"createVerticalGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:155","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editHorizontalGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:174","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editVerticalGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:196","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editGrid","격자 집합·방향별 격자","H1–H2","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:213","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"removeGrid","격자 집합·방향별 격자","H1–H2","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:231","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"createLegend","범례·구성요소","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:29","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegend","범례·구성요소","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:162","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegendLayout","범례·구성요소","H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:207","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegendLabels","범례·구성요소","H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:223","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegendTitle","범례·구성요소","H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:240","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegendSymbols","범례·구성요소","H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:256","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editLegendBorder","범례·구성요소","H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:272","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"createGuides","guide 집합","H1","user-facing","legend_and_title","Aggregate create-only","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:325","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"removeLegend","범례·구성요소","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:292","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"createTitle","차트 제목","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:359","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"editTitle","차트 제목","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:409","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"removeTitle","차트 제목","H2–H3","user-facing","legend_and_title","Mutable resource","D05 D07 D08 D13","F14 F17 F18","agent_docs/contract/current/LEGEND_AND_TITLE.md:435","범례 kind별 제약, nested false, 스타일/format 및 layout 소유권 대조."
"createCoordinate","좌표·스케일 resource","H2","user-facing","core","Structural create-only","D01 D09 D18","F02 F03 F04 F17 F18 F19","agent_docs/contract/current/CORE.md:505","좌표 family와 immutable/resource edit 차이는 유지. radial baseline·색 중심·재연결 경로 보강."
"createScale","좌표·스케일 resource","H2","user-facing","core","Mutable resource","D01 D09 D18","F02 F03 F04 F17 F18 F19","agent_docs/contract/current/CORE.md:531","좌표 family와 immutable/resource edit 차이는 유지. radial baseline·색 중심·재연결 경로 보강."
"editScale","좌표·스케일 resource","H2","user-facing","core","Mutable resource","D01 D09 D18","F02 F03 F04 F17 F18 F19","agent_docs/contract/current/CORE.md:610","좌표 family와 immutable/resource edit 차이는 유지. radial baseline·색 중심·재연결 경로 보강."
"createDerivedData","원본·파생 데이터","H2","user-facing","core","Immutable create-only","B05 D12 D14","F13 F15 F16","agent_docs/contract/current/CORE.md:284","새 immutable dataset과 stable owner revision을 분리. standalone transform과 소비자 rebinding 검토."
"createRegressionBand","통계 layer·복합 mark·구성요소","H2–H3","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:311","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editRegressionBand","통계 layer·복합 mark·구성요소","H2–H3","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:380","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"createRegressionLine","통계 layer·복합 mark·구성요소","H2–H3","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:349","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"editRegressionLine","통계 layer·복합 mark·구성요소","H2–H3","user-facing","statistics","Mutable resource","D04 D06 D10 D11 D16","F10 F11 F12 F16","agent_docs/contract/current/STATISTICS.md:400","컴포넌트 소유권, 원자적 역할 편집, 통계/모양 기본값을 대조."
"filterMarks","선택·강조·필터","H2–H3","user-facing","mark-selection","Aggregate create-only","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:50","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"selectMarks","선택·강조·필터","H2–H3","advanced","mark-selection","Stable create-only","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:88","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"editMarkSelection","선택·강조·필터","H2–H3","advanced","mark-selection","Mutable resource","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:130","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"removeMarkHighlight","선택·강조·필터","H2–H3","user-facing","mark-selection","Mutable resource","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:158","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"removeMarkSelection","선택·강조·필터","H2–H3","advanced","mark-selection","Mutable resource","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:179","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"highlightMarks","선택·강조·필터","H2–H3","user-facing","mark-selection","Mutable resource","B08 D15","F16 F18","agent_docs/contract/current/MARK_SELECTION.md:200","최종 item grain과 raw filtering 차이를 유지. 반복 필터/empty 결과와 lifecycle metadata 보강."
"editSemantic","확장 primitive","H4","primitive","primitives","Primitive","D20","F18","agent_docs/contract/current/PRIMITIVES.md:5","세 primitive 경계를 유지. 일반 스타일은 persistent domain action으로 제공."
"createGraphics","확장 primitive","H4","primitive","primitives","Primitive","D20","F18","agent_docs/contract/current/PRIMITIVES.md:49","세 primitive 경계를 유지. 일반 스타일은 persistent domain action으로 제공."
"editGraphics","확장 primitive","H4","primitive","primitives","Primitive","D20","F18","agent_docs/contract/current/PRIMITIVES.md:95","세 primitive 경계를 유지. 일반 스타일은 persistent domain action으로 제공."
"createArcMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:438","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editArcMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:465","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"createThetaAxis","축 집합·축·구성요소","H2","user-facing","axes","Aggregate create-only","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:201","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createRadialAxis","축 집합·축·구성요소","H2","user-facing","axes","Aggregate create-only","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:215","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editThetaAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:229","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editRadialAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:243","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"removeThetaAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:354","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"removeRadialAxis","축 집합·축·구성요소","H2","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:366","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editThetaAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:257","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editRadialAxisLine","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:269","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editThetaAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:281","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editRadialAxisTicks","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:293","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editThetaAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:305","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editRadialAxisLabels","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:317","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editThetaAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:329","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"editRadialAxisTitle","축 집합·축·구성요소","H3","user-facing","axes","Mutable resource","D07 D08 D13 D20","F17 F18","agent_docs/contract/current/AXES.md:341","Cartesian/Polar/Parallel의 생성·편집·제거·복원 및 style 옵션 대조."
"createThetaGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:85","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"createRadialGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:97","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editThetaGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:109","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editRadialGrid","격자 집합·방향별 격자","H3","user-facing","grid","Mutable resource","D07 D17","F17 F18","agent_docs/contract/current/GRID.md:121","방향별 owner 재사용. 기본 방향·색은 차트 의미/테마와 분리 검토."
"editCompositionLayout","차트 조합·반복·편집","H1–H3","user-facing","composition","Mutable resource","D19","F19","agent_docs/contract/current/COMPOSITION.md:80","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"replaceCompositionChild","차트 조합·반복·편집","H1–H3","user-facing","composition","Mutable resource","D19","F19","agent_docs/contract/current/COMPOSITION.md:163","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"facet","차트 조합·반복·편집","H0","user-facing","composition","Aggregate create-only","D19","F19","agent_docs/contract/current/COMPOSITION.md:7","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"editFacetHeaders","차트 조합·반복·편집","H1–H3","user-facing","composition","Mutable resource","D19","F19","agent_docs/contract/current/COMPOSITION.md:61","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"editFacetScales","차트 조합·반복·편집","H1–H3","user-facing","composition","Mutable resource","D19","F19","agent_docs/contract/current/COMPOSITION.md:106","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"editFacetGuides","차트 조합·반복·편집","H1–H3","user-facing","composition","Mutable resource","D19","F19","agent_docs/contract/current/COMPOSITION.md:137","일반 concat의 child 교체와 facet의 재파생 소유권 차이를 유지하며 authoring 범위 보강."
"createScatterPlot","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:18","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createLinePlot","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:59","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createBarPlot","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:101","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createHistogram","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:145","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createHeatmap","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:190","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createParallelCoordinates","완성 차트 facade","H0","user-facing","charts","Aggregate create-only","B01 B07 D04 D05 D06 D09 D17","F01 F02 F03 F04 F05 F06 F07 F08 F10","agent_docs/contract/current/BASIC_CHARTS.md:257","짧은 호출·기본 guide·분해 경로와 sibling option vocabulary 대조."
"createRectMark","mark·스타일·라벨 배치","H2","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:516","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
"editRectMark","mark·스타일·라벨 배치","H3","user-facing","marks","Mutable resource","B06 D06 D13 D17","F05 F08 F09 F11 F14 F18","agent_docs/contract/current/MARKS.md:542","9종 mark의 shape/style/anchor와 생성-편집 대칭성 검토."
